,MDDN,MDUN,MDDS,MDUS,MDDF,MDUF,VMDN,VMUN,VMDS,VMUS,VMDF,VMUF,TPVDN,TPVUN,TPVDS,TPVUS,TPVDF,TPVUF,AMPDN,AMPUN,AMPDS,AMPUS,AMPDF,AMPUF
,0.95,1.3,2.01,1.49,0.72,0.72,1171.3973563390937,813.586540445931,571.5110941926923,809.7355958150956,1742.1251034582838,1706.178920282241,0.5789473684210527,0.4153846153846154,0.25870646766169153,0.3959731543624161,0.5972222222222222,0.4583333333333333,612.3663398967611,646.6021967735094,658.660414697388,640.8420870981469,637.5789848881757,673.2639366351402
,1.46,1.53,1.96,0.68,1.63,0.65,759.5067595791988,731.5708491783198,602.0985959802601,1745.1146649991642,820.2694748321619,1724.9758449649107,0.2465753424657534,0.40522875816993464,0.4897959183673469,0.6470588235294118,0.4601226993865031,0.5538461538461539,602.0244151796054,643.5972965986768,634.1318791614084,633.6924380237073,632.1606070087944,629.6371733434154
,1.93,0.54,2.19,0.56,1.5,0.63,579.5508301732298,2088.765172950889,707.2961244528983,2108.4381986833023,808.8461590309862,1812.9424630695212,0.39896373056994816,0.6111111111111112,0.2648401826484018,0.5178571428571429,0.4866666666666667,0.5555555555555556,600.7154641995868,632.7547620237286,639.0750614414691,677.2936779941948,632.2934016457306,634.9443305586825
,0.63,0.61,1.2,1.32,2.44,0.59,1931.8522895380966,2010.421286984399,962.2260847328562,828.1265116883105,495.3196902053378,2136.9769200102382,0.5555555555555556,0.639344262295082,0.43333333333333335,0.38636363636363635,0.2459016393442623,0.576271186440678,630.3568417005032,655.4237771505699,660.1965785873798,642.6721391179095,615.8545718512072,693.0366374246306
,0.7,1.23,0.65,1.58,0.68,0.92,1679.2433107312945,964.926130097956,1936.4166707517825,693.5294752777736,1762.0407287298804,1348.759817495079,0.42857142857142855,0.6504065040650406,0.5692307692307692,0.43037974683544306,0.6764705882352942,0.4782608695652174,674.6507827489456,647.4928787235687,683.0767403342526,634.4392379544634,660.168302105528,692.8854066849917
,1.11,0.58,0.69,1.17,1.73,2.04,1000.9921522225341,2050.9770207406746,1703.0521719374178,965.1474551092406,643.3351084738206,463.62353224262733,0.44144144144144143,0.6206896551724138,0.5942028985507246,0.47863247863247865,0.6184971098265896,0.5245098039215687,652.8664446251806,648.572038918215,645.1991658188274,666.5807260494487,630.6159488330312,630.5879926304311
,2.36,0.5,0.6,1.44,0.84,2.15,448.3774076587679,2167.303950808764,2061.571379896145,852.7808541702825,1341.1378546055403,523.484458597045,0.7033898305084746,0.5,0.5166666666666667,0.4791666666666667,0.5,0.5534883720930233,637.1238146700445,640.1980906472423,651.1801695923054,641.68629772016,609.0583114192606,629.8931954275927
,1.56,0.63,2.13,0.76,1.34,2.22,823.2518910955378,1919.3670467760285,618.8409279560233,1562.4411382612834,921.305891199745,462.7207437886,0.36538461538461536,0.6507936507936508,0.3004694835680751,0.4868421052631579,0.5373134328358209,0.6666666666666666,662.2099292205395,667.5685686612369,649.6355594804786,658.0764429018492,629.6763944248062,618.5030828921925
,0.77,0.58,1.81,1.56,1.24,0.69,1628.1027940616696,2056.6227759426283,695.155878261096,768.548164292838,925.9820943882914,1697.7955534180524,0.6103896103896104,0.5172413793103449,0.26519337016574585,0.28846153846153844,0.46774193548387094,0.6521739130434783,611.6313271106894,654.8040863684711,633.7701477372374,643.7430549268588,661.0580014497988,656.010338797617
,1.55,1.53,1.76,1.84,0.76,1.14,685.3985639719781,883.0907861292872,648.869933148967,698.8066514614957,1554.0624605336461,1148.3129003831436,0.3419354838709677,0.4117647058823529,0.7272727272727273,0.33152173913043476,0.5263157894736842,0.47368421052631576,645.6800923334243,659.1975625450121,657.2398566239758,657.1524717134564,637.2402907479114,667.8545472125245
,0.68,1.48,1.45,0.7,0.8,1.09,1798.5109112609052,834.6271256136333,911.5898662499376,1629.9214925981914,1461.3192382547822,1092.288769100378,0.4852941176470588,0.3918918918918919,0.42758620689655175,0.4857142857142857,0.55,0.48623853211009177,660.1305030549922,661.3311375624326,693.4175133400846,663.3127153018555,647.5496035470605,644.7912564985356
,0.62,2.54,2.44,0.66,0.91,1.81,2060.2155047187466,501.36917501884,375.58797585827506,2073.2018509309682,1396.5469222349384,638.4674138614855,0.6290322580645161,0.40551181102362205,0.38934426229508196,0.5303030303030303,0.6923076923076923,0.5248618784530387,686.4782219527608,645.9916176777724,632.3526063009136,709.560987559293,669.4037702572098,647.4463898754849
,0.69,1.85,NA,1.41,0.82,0.79,1798.699439536449,588.4185006241523,NA,797.090758403715,1461.736715489542,1600.4170332596914,0.5942028985507246,0.5621621621621622,NA,0.46808510638297873,0.6219512195121951,0.5569620253164557,674.8767633756366,628.4796203032164,NA,664.2322874582152,636.2867865012433,672.009306737691
,0.71,0.67,NA,0.58,0.65,1.24,1688.6595967266203,1965.5060195380884,NA,2290.567853244147,1821.8257974453081,845.8106836811567,0.5070422535211268,0.582089552238806,NA,0.4482758620689655,0.5076923076923077,0.5403225806451613,629.7335335911478,677.6737772367812,NA,685.1187445606378,664.8980316117338,637.9720227659942
,0.61,2.19,NA,0.7,1.66,1.48,1813.4596210025393,451.94050776178756,NA,1877.2512541869219,791.6352185916594,756.3212597777465,0.5081967213114754,0.5662100456621004,NA,0.5857142857142857,0.3614457831325301,0.5540540540540541,639.3193376719812,621.7151019799733,NA,722.7428910689541,676.612816121892,668.6313643237714
,NA,1.21,NA,1.38,1.52,2.35,NA,939.6616269517153,NA,786.5045317422528,792.211883804589,385.39980917560115,NA,0.4380165289256198,NA,0.5652173913043478,0.40789473684210525,0.3574468085106383,NA,645.5647038717774,NA,617.6885046335295,643.7066111170415,610.6103246329386
