Colonne1;MDDN;MDUN;MDDS;MDUS;MDDF;MDUF;VMDN;VMUN;VMDS;VMUS;VMDF;VMUF;TPVDN;TPVUN;TPVDS;TPVUS;TPVDF;TPVUF;AMPDN;AMPUN;AMPDS;AMPUS;AMPDF;AMPUF
Essai 1;0,58;0,69;1,65;1,95;0,56;1,47;2162,47;1672,28;665,29;627,96;2190,27;693,35;NA;NA;0,30;0,24;0,50;NA;713,35;645,67;654,74;638,23;702,68;613,99
Essai 2;0,79;0,63;1,63;1,68;0,55;0,52;1367,69;1948,86;505,92;538,71;2122,19;2411,54;0,49;NA;0,70;0,26;0,49;0,50;635,35;700,30;580,34;592,84;678,21;725,82
Essai 3;0,93;1,21;1,41;1,43;0,52;0,52;1140,86;820,69;655,23;762,41;2320,88;2314,04;0,56;0,31;0,52;0,26;0,50;0,50;632,42;612,49;596,22;625,26;705,81;700,16
Essai 4;1,18;0,95;1,85;1,01;0,54;0,51;874,84;1157,13;507,58;1180,31;2245,07;2454,17;0,39;0,42;0,31;0,38;0,50;0,51;611,66;630,76;621,92;651,87;699,89;731,81
Essai 5;1,45;1,27;2,31;1,18;0,53;0,53;677,15;738,34;426,42;1080,37;2302,01;2309,67;0,35;0,32;0,19;0,44;0,49;0,49;604,41;636,23;599,32;615,69;701,79;703,70
Essai 6;1,46;0,91;1,24;1,79;0,51;0,54;660,41;1249,95;934,80;738,59;2344,11;2198,74;0,40;0,51;0,48;0,23;0,51;0,50;602,48;624,46;628,68;622,37;702,99;690,89
Essai 7;1,52;1,11;1,53;1,84;0,53;0,51;762,90;992,34;867,85;615,01;2171,69;2486,25;0,39;0,61;0,32;0,53;0,49;0,51;610,14;625,90;625,46;646,84;665,11;742,31
Essai 8;1,32;1,07;2,24;1,77;0,56;0,53;746,53;1022,62;469,05;628,94;2046,26;2324,09;0,33;0,46;0,55;0,21;0,48;0,51;633,12;627,03;626,89;649,24;660,48;721,43
Essai 9;1,76;1,03;2,11;2,11;0,55;0,51;573,48;1092,69;390,19;515,86;2197,75;2590,90;0,65;0,39;0,31;0,45;0,49;0,49;607,27;633,27;640,43;636,99;698,80;764,29
Essai 10;1,77;1,29;NA;2,01;0,51;0,50;553,16;915,72;NA;534,41;2396,01;2691,53;0,54;0,54;NA;0,22;0,51;0,50;620,59;638,48;NA;638,47;712,67;794,73
Essai 11;0,54;1,34;NA;1,87;0,49;0,51;2181,12;766,82;NA;620,04;2608,39;2296,94;NA;0,29;NA;0,26;0,51;0,49;682,96;613,45;NA;645,23;748,43;675,59
Essai 12;0,99;1,17;NA;2,08;0,51;0,51;1061,38;1024,99;NA;500,01;2509,35;2516,11;0,42;0,33;NA;0,80;0,51;0,51;640,51;615,01;NA;682,25;742,56;744,20
Essai 13;0,99;1,22;NA;NA;0,51;0,49;1149,76;788,00;NA;NA;2466,05;2568,11;0,55;0,46;NA;NA;0,49;0,51;609,02;617,53;NA;NA;726,71;738,82
Essai 14;0,91;1,22;NA;NA;0,50;0,51;1184,10;857,56;NA;NA;2489,49;2436,73;0,48;0,50;NA;NA;0,50;0,49;629,48;647,21;NA;NA;719,12;722,03
Essai 15;1,05;1,06;NA;NA;0,50;0,50;1013,08;997,06;NA;NA;2666,62;2682,96;0,61;0,39;NA;NA;0,50;0,50;624,60;637,47;NA;NA;770,55;789,95
Essai 16;1,01;2,09;NA;NA;0,50;0,51;1198,15;NA;NA;NA;2576,02;2652,11;0,62;NA;NA;NA;0,50;0,51;657,02;649,66;NA;NA;749,06;786,61
Essai 17;1,02;0,91;NA;NA;0,51;0,49;1109,78;1245,30;NA;NA;2371,26;2826,02;0,61;0,48;NA;NA;0,51;0,49;618,34;645,11;NA;NA;702,90;813,83
Essai 18;1,13;1,04;NA;NA;0,52;0,51;929,46;1036,65;NA;NA;2542,33;2333,73;0,60;0,40;NA;NA;0,50;0,51;612,43;647,87;NA;NA;763,74;697,98
Essai 19;0,96;1,18;NA;NA;0,49;0,49;1235,06;859,65;NA;NA;2513,87;2665,42;0,51;0,38;NA;NA;0,51;0,49;665,97;636,53;NA;NA;728,96;764,60
Essai 20;1,00;0,71;NA;NA;0,50;0,49;1148,78;1683,16;NA;NA;2404,21;2732,63;0,53;NA;NA;NA;0,50;0,49;644,29;663,30;NA;NA;699,30;782,68
Moyenne;1,12;1,11;1,77;1,73;0,52;0,56;1086,51;1098,41;602,48;695,22;2374,19;2409,25;0,50;0,42;0,41;0,36;0,50;0,50;632,77;637,39;619,33;637,11;713,99;735,27
SD;0,34;0,31;0,38;0,35;0,02;0,22;440,27;336,69;193,58;219,85;173,65;439,44;0,10;0,09;0,16;0,18;0,01;0,01;28,69;20,10;23,30;22,04;29,99;47,99
CV;0,30;0,28;0,21;0,20;0,04;0,39;0,41;0,31;0,32;0,32;0,07;0,18;0,20;0,21;0,39;0,49;0,02;0,02;0,05;0,03;0,04;0,03;0,04;0,07
